musica|artista|compositor|letra
Pout-pourri:lua Cheia/não Fuja da Raia|Arlindo Cruz|no compositor found| Só de pensar É de partir o caraçao, Não vou chorar Não vou curtircom a solidao,eu vou sair voupor ai me divertirsomente assim vouconseguir melhorarvou sambar...por que hoje vai ter lua cheiaeu que trago o samba na veiasei que no pagodenao pode pintar cara feiae num bom pagodemeu peito explode incendeiaporque hoje vai ter lua cheiavai ter samba de novo encandeiavai ter samba novo deixa eu te levar capoeira Nessa brincadeira eu faço a tristeza sambareu vou sair voupor ai me divertirsomente assim vouconseguir melhorarvou sambar... Quem mando me chamar? Agora segura o partido Hoje eu quero dançar Ouvir a galera comigo Vai ter samba a noite inteirapor eu não saio daqui Eu não sou de brincadeira Eu faço a poeira subir Eu não fujo da raiaaceito qualquer desafio Sambar é minha praia, não tem tempo quente nem frio Vai ter samba a noite inteira Por isso não saio daqui Eu não sou de brincadeira Eu faço a poeira subir Segura a batucada Que o pagode ta lindo Firma nessa levada que o povo ta pedindomais um samba de rodamete a mão no pandeiro
Malvada|Ataulfo Alves|no compositor found| Malvada Malvada, covarde Perversa, fingida Mataste, a ultima esperança Que restava na minha vida Dei-lhe tudo tudo quanto eu tinha Dei a sua vida a propria vida Mas a sua alma é tão mesquinha Que mevfez no peito uma ferida.
Ter Compaixão|Alcione| Arlindo Cruz/Marquinhos China/Zeca Pagodinho| Ter compaixão Nem sempre é bom Às vezes não compensa Dei coração Ingratidão tive por recompensa Pobre infeliz Viu por um triz seu fim Te dei a mão E hoje vives A zombar de mim Te dei a mão E hoje vives A zombar de mim Hão de pensar Que nessa vida Todos são perfeitos Redondo engano Perdoar sempre foi meu defeito O mundo inteiro vai dizer Sem ter razão que esse ser Enlouqueceu só por amar a quem devia esquecer Daí, então responderei Enlouqueceu quem não amou Seria bom se todos fossem Como eu sou Seria bom se todos fossem Como eu sou( Láláiá) Seria bom se todos fossem Como eu sou( Láláiá) Seria bom se todos fossem Como eu sou
Atire a Primeira Pedra|Ataulfo Alves| Ataulfo Alves/ Mário Lago| Covarde sei que me podem chamar Porque não calo no peito dessa dor Atire a primeira pedra, ai, ai, ai Aquele que não sofreu por amor Eu sei que vão censurar O meu proceder Eu sei, mulher Que você mesma vai dizer Que eu voltei pra me humilhar É, mas não faz mal Você pode até sorrir Perdão foi feito pra gente pedir
Depois de Você|Bom Gosto|no compositor found| Depois de você fiquei com medo, medo, medo de abrir meu coração Depois de você fiquei com medo, medo, medo e fiquei na solidão Entrei de cabeça, eu não escutei ninguém, apostei no seu amor Eu não esperava sofrer decepção Doeu demais meu coração Depois de você fiquei com medo, medo, medo de abrir meu coração Depois de você fiquei com medo, medo, medo e fiquei na solidão Eu sei que o mal não se deve alimentar E a gente quer dar, só de pensar Mas tá doendo, eu tenho que conversar, eu tenho medo de me entregar de novo Depois de você fiquei com medo, medo, medo de abrir meu coração Depois de você fiquei com medo, medo, medo e fiquei na solidão Entrei de cabeça, eu não escutei ninguém, apostei no seu amor Eu não esperava sofrer decepção Doeu demais meu coração Depois de você fiquei com medo, medo, medo de abrir meu coração Depois de você fiquei com medo, medo, medo e fiquei na solidão By:  Milena  Araújo
Eu Gosto de Samba|Ary Barroso| Ary Barroso - 1940| Eu gosto de samba Até parece moamba Feitiço, despacho ou mandiga, Eu estremeço toda Num samba de roda Que ginga, que ginga Ai, ai Eu nasci tropical Nesta terra ideal Eu sou brasileira Enfezada. E no meu corpo moreno Circula o veneno Da batucada Oi a cuíca: hum, hum, hum, hum Oi o pandeiro: tche, tche, tche, tche O tamborim: pa, pa, pa, pa. Brasil Quem fala Fala de mágoa Por que o samba mexe com a gente Ou não mexe Deliciosamente, ai! Malevolentemente, ai! Maliciosamente, ai! Assustadoramente, ai!6444 Ficha técnica da faixa Voz:  Dircinha  Batista Regência:  Louis  Cole Orquestra do  Cassino  Atlântico[  Samba -  Odeon 11.890 A e  B -  Intérprete  Dircinha  Batista com  Louis  Cole e sua  Orquestra do  Cassino  Atlântico ]
Para Viver Aquilo|Alexandre Pires|no compositor found| Para viver aquilo que vivemos outro dia Teríamos que nascer de novo E de novo nos olharmos E de novo nos amarmos Isso é pura fantasia Reinventar um mundo, reinventar a vida Para viver aquilo que vivemos outro dia Sob a sua mão inquieta, meu desejo se perdia No silêncio dos seus beijos, meu corpo estremecia Para viver tudo de novo, até  Deus do céu duvida É difícil acontecer duas vezes numa vida Para viver aquilo que vivemos outro dia Reinventar um mundo, reinventar a vida Para viver aquilo que vivemos outro dia Você me acariciava docemente atrevida E nós dois nos entregamos Sem pudor e sem medidas Cada instante e cada beijo mudou tanto as nossas vidas É difícil acontecer duas vezes numa vida Para viver aquilo que vivemos outro dia
Sem Compromisso|Beth Carvalho|no compositor found|" Você só dança com ele E diz que é sem compromisso É bom acabar com isso Não sou nenhum pai joão Quem trouxe você fui eu Não faça papel de louca Pra não haver bate-boca dentro do salão Você só dança com ele E diz que é sem compromisso É bom acabar com isso Não sou nenhum pai joão Quem trouxe você fui eu Não faça papel de louca Pra não haver bate-boca dentro do salão Quando toca um samba e eu lhe tiro pra dançar Você me diz: ""não, eu agora tenho par"" E sai dançando com ele Alegre e feliz Quando para o samba Bate palma e pede bis E sai dançando com ele Alegre e feliz Quando para o samba Bate palma e pede bis"
O Meu Lugar|Arlindo Cruz| Arlindo Cruz e Mauro Diniz| O meu lugar É caminho de  Ogum e  Iansã Lá tem samba até de manhã Uma ginga em cada andar O meu lugar É cercado de luta e suor Esperança num mundo melhor E cerveja pra comemorar O meu lugar Tem seus mitos e  Seres de  Luz É bem perto de  Osvaldo  Cruz, Cascadura,  Vaz  Lobo e  Irajá O meu lugar É sorriso é paz e prazer O seu nome é doce dizer Madureiraaa, lá lá laiá,  Madureiraaa, lá lá laiá Ahhh que lugar A saudade me faz relembrar Os amores que eu tive por lá É difícil esquecer Doce lugar Que é eterno no meu coração E aos poetas trás inspiração Pra cantar e escrever Ai meu lugar Quem não viu  Tia  Eulália dançar Vó  Maria o terreiro benzer E ainda tem jongo à luz do luar Ai que lugar Tem mil coisas pra gente dizer O difícil é saber terminar Madureiraaa, lá lá laiá,  Madureiraaa, lá lá laiá,  Madureiraaa Em cada esquina um pagode num bar Em  Madureiraaa Império e  Portela também são de lá Em  Madureiraaa E no  Mercadão você pode comprar Por uma pechincha você vai levar Um dengo, um sonho pra quem quer sonhar Em  Madureiraaa E quem se habilita até pode chegar Tem jogo de ronda, caipira e bilhar Buraco, sueca pro tempo passar Em  Madureiraaa E uma fezinha até posso fazer No grupo, dezena, centena e milhar E nos 7 lados eu vou te cercar Em  Madureiraaa E lalalaiala laia la la ia... Em madureiraaa
Usted Abusó|Alexandre Pires| Antonio carlos e Jocafi| Usted abuso, Saco provecho de mi, abuso, Saco partido de mi, abuso, De mi cariño usted abuso. Y me perdona por seguir con este tema, Yo no se escribir poema, Ni tampoco una canción Sin un tema de amor. Cada palabra, cada verso, Me recuerda el momento, Que mi amor se te entrego, Y usted abuso. Usted abuso, Saco provecho de mi, abuso, Saco partido de mi, abuso, De mi cariño usted abuso. Y fue mi mal, me destruyo el desamor, Su gran escuela del dolor, Ya no se si lo maldice O lo bendice el corazon. Cada palabra, cada verso, Me recuerda el momento, En que mi amor se te entrego, Y usted abuso.
Sereia|Bezerra da Silva| (Pessanha, Regina do Bezerra, 1000tinho)| Sereia, oh sereia! Me ajude a caminhar porque a coisa tá feia Sereia, oh sereia! Me ajude a caminhar porque a coisa tá feia Aqui está o seu presente, deixo na beira do mar Só não levo lá pro meio porque eu não sei nadar Não duvido da senhora, mas tenho medo de me arriscar Porque água não tem cabelo pra ninguém se segurar Sereia, oh sereia!... A senhora me perdoa eu não sei o que é certo Mas a lenda diz assim:  Não devemos chegar perto E se eu vou por alto mar a coisa pode ficar feia Por favor venha buscar seu presente aqui na areia Sereia, oh sereia!... Aqui está o seu presente, deixo na beira do mar Só não levo lá pro meio porque eu não sei nadar Não duvido da senhora, mas tenho medo de me arriscar Porque água não tem cabelo pra ninguém se segurar Sereia, oh sereia!... A senhora me perdoa eu não sei o que é certo Mas a lenda diz assim:  Não devemos chegar perto E se eu vou por alto mar a coisa pode ficar feia Por favor venha buscar seu presente aqui na areia Sereia, oh sereia!... Sereia, oh sereia!...
Camisa Listrada|Carmen Miranda| Assis Valente| Camisa  Listrada -  Carmem  Miranda Vestiu uma camisa listrada e saiu por aí, Em vez de tomar chá com torradas ele bebeu parati, Levava um canivete no cinto e um pandeiro na mão, E sorria quando o povo dizia: sossega leão, sossega leão. Tirou o seu anel de doutor para não dar o que falar, E saiu dizendo eu quero mamar, Mamãe eu quero mamar, mamãe eu quero mamar. Levava um canivete no cinto e um pandeiro na mão, E sorria quando o povo dizia: sossega leão, sossega leão, Levou meu saco de água quente pra fazer chupeta, E rompeu minha cortina de veludo pra fazer uma saia, Abriu meu guarda-roupa e arrancou minha combinação, E até do cabo da vassoura ele fez um estandarte, Para o seu cordão. Agora a batucada já vai começando, Eu não deixo e não consinto, O meu querido debochar de mim, Porque ele pega as minhas coisas vai dar o que falar, Se fantasia de  Antonieta e vai dançar no  Bola  Preta Até o sol raiar.
Dor de Amor|Arlindo Cruz| Zeca Pagodinho - Arlindo Cruz - Acyr Marques| Ai!  Como dói a dor Como dói a dor de amar Quem se desencantou Sabe o que é chorar Nesse mundo não tem professor Pra matéria do amor ensinar Nem tão pouco se encontra doutor Dor de amor é difícil curar Chico- Preto malandro veneno Agora é sereno viver de paixão Sorte dele ser correspondido É bem sucedido, não ama em vão E o contrário foi o branco chico Tão belo e tão rico Dono da  Razão Não valeu seu poder financeiro Pois não há dinheiro que compre a emoção Ele quis viajar de saveiro Mas era jangada e embarcação Que saiu mas encalhou Não chegou a alto mar Que saiu mas encalhou Não chegou a alto mar Mais um sonho naufragou Dor de amor é díficil curar Aí!  Como dói a dor
Teu Orgulho Acabou|Adoniran Barbosa| Adoniran Barbosa E Pedrinho Romano| Mulher Eu te abandonei pra te ver chorar Mulher assim Cheia de vaidade eu não quero amar Sorrindo digo Não arrependo o tempo que perdí contigo Agoras vives Reclamando a sorte Vá ficando por aí Teu orgulho acabou Hoje sofres Grande dor Chorando dizes Que não esperavas Que eu te abandonasse E nem tampouco Que te maltratasse Fazendo pouco caso Do teu grande amor
Em Nome do Amor|Arlindo Cruz| Arlindo Cruz - Délcio Luiz| Meu bem eu faço tudo ou quase tudo Em nome do amor Eu quero esse carinho, esse jeitinho todo Seu pra mim Me viro pelo avesso dou meu jeito do jeito Que for Pra te ver morena sussurrando bem Gostoso assim Me leva pra casa vida, me deixa de bem Com a vida Me leva pro céu, pra lua nua sem pudor Eu te dou a minha vida Até mais se alguém duvida Eu te dou o céu, a lua em nome do amor Eu sou capaz de saciar o seu desejo A qualquer momento ó... Eu faço planos de poupança no futuro nosso Casamento amor Eu faço tudo pra te ver feliz se você pede bis Eu te dou muito mais Me pede sim que eu dou Em nome do amor
No Meu Setão|Ataulfo Alves|no compositor found| No meu setão No meu sertão tudo é diferente Não é como essa gente Cheia de maldade A nossa beleza é da natureza E a mulher quando tem amizade É uma verdade A lua lá na roça É mais prateada A cabocla mais queimada A morena bronzeada Ao romper da aurora A morena chora O seu caboclo valente Que vai pro batente Por isso eu digo.... E lá daquela serra Faz tremer a terra A batida do machado Do moreno apaixonado Que canta juntamente A sua canção Depois então friamente Vem o cedro ao chão... Por isso é que .....
Lua, Lua|Biro do Cavaco|no compositor found| Se eu pudesse estar agora junto dela E ouvir sua voz macia me falar de amor Eu tenho saudade do sorriso dela Mas eu estou longe e ela não me ama Sei que ela devia, me amar agora Mas ela não sabe que eu estou perdido Dia-dia aumenta a saudade dela Mas eu estou longe e ela não me ama Lua, lua, lua amiga, vai dizer a ela Que eu não tenho um novo amor Pois eu só gosto dela Lua, lua, lua amiga, vai dizer a ela Que eu não tenho um novo amor Pois eu só gosto dela
Justiça Social|Bezerra da Silva|no compositor found| Quase prendem meu disco, houve um disse me disse, pintaram o diabo Só porque em outro samba eu pedi para um homem não ser condenado Fala mais alto a justiça lá do céu, que atirem a primeira pedra aquele que nunca foi réu Fala mais alto a justiça lá do céu, que atirem a primeira pedra aquele que nunca foi réu Eu seu que errar é humano na vida é comum tem a primeira vez Mas vale é ser consciente, pois muito inocente já pagou, por aquilo que não fez É que a balança da justiça social só pesa pra ler escrita, isso não está legal É que a balança da justiça social só pesa pra ler escrita, isso não está legal Quase prendem meu disco, houve um disse me disse, pintaram o diabo Só porque em outro samba eu pedi para um homem não ser condenado Fala mais alto a justiça lá do céu, que atirem a primeira pedra aquele que nunca foi réu Fala mais alto a justiça lá do céu, que atirem a primeira pedra aquele que nunca foi réu Meus versos sem ser intelecto busca o mais certo para o bom viver Eu sou o joio e o trigo, a mistura de amigos, razão do meu ser Eu sou a parte de quem foi e de quem fica, sou elo da sociedade que o co-nome identifica Eu sou a parte de quem foi e de quem fica, sou elo da sociedade que o co-nome identifica Quase prendem meu disco, houve um disse me disse, pintaram o diabo Só porque em outro samba eu pedi para um homem não ser condenado Fala mais alto a justiça lá do céu, que atirem a primeira pedra aquele que nunca foi réu Fala mais alto a justiça lá do céu, que atirem a primeira pedra aquele que nunca foi réu Fala mais alto a justiça lá do céu, que atirem a primeira pedra aquele que nunca foi réu Fala mais alto a justiça lá do céu, que atirem a primeira pedra aquele que nunca foi réu Fala mais alto a justiça lá do céu, que atirem a primeira pedra aquele que nunca foi réu Fala mais alto a justiça lá do céu, que atirem a primeira pedra aquele que nunca foi réu
